Value, Category, Count,  Acreage,county_fips,year
1, Corn,7220,1605.7,01001,2016
2, Cotton,40741,9060.6,01001,2016
4, Sorghum,334,74.3,01001,2016
5, Soybeans,7888,1754.2,01001,2016
10, Peanuts,384,85.4,01001,2016
24, Winter Wheat,1260,280.2,01001,2016
26, Dbl Crop WinWht/Soybeans,1142,254.0,01001,2016
27, Rye,20,4.4,01001,2016
28, Oats,233,51.8,01001,2016
29, Millet,139,30.9,01001,2016
37, Other Hay/Non Alfalfa,132855,29546.2,01001,2016
44, Other Crops,1,0.2,01001,2016
46, Sweet Potatoes,15,3.3,01001,2016
47, Misc Vegs & Fruits,37,8.2,01001,2016
48, Watermelons,2893,643.4,01001,2016
53, Peas,25,5.6,01001,2016
59, Sod/Grass Seed,747,166.1,01001,2016
61, Fallow/Idle Cropland,11153,2480.4,01001,2016
67, Peaches,6,1.3,01001,2016
74, Pecans,2727,606.5,01001,2016
111, Open Water,28977,6444.3,01001,2016
121, Developed/Open Space,71331,15863.6,01001,2016
122, Developed/Low Intensity,22620,5030.6,01001,2016
123, Developed/Medium Intensity,7496,1667.1,01001,2016
124, Developed/High Intensity,1976,439.5,01001,2016
131, Barren,4685,1041.9,01001,2016
141, Deciduous Forest,411064,91418.4,01001,2016
142, Evergreen Forest,356178,79212.1,01001,2016
143, Mixed Forest,128532,28584.8,01001,2016
152, Shrubland,293019,65165.9,01001,2016
176, Grass/Pasture,104005,23130.2,01001,2016
190, Woody Wetlands,95722,21288.1,01001,2016
195, Herbaceous Wetlands,2330,518.2,01001,2016
205, Triticale,77,17.1,01001,2016
219, Greens,76,16.9,01001,2016
225, Dbl Crop WinWht/Corn,231,51.4,01001,2016
226, Dbl Crop Oats/Corn,2,0.4,01001,2016
1, Corn,58386,12984.7,01003,2016
2, Cotton,70195,15611.0,01003,2016
4, Sorghum,6399,1423.1,01003,2016
5, Soybeans,104501,23240.5,01003,2016
10, Peanuts,107306,23864.3,01003,2016
12, Sweet Corn,943,209.7,01003,2016
24, Winter Wheat,182,40.5,01003,2016
26, Dbl Crop WinWht/Soybeans,1985,441.5,01003,2016
27, Rye,1,0.2,01003,2016
28, Oats,112,24.9,01003,2016
29, Millet,16967,3773.4,01003,2016
37, Other Hay/Non Alfalfa,34124,7589.0,01003,2016
43, Potatoes,209,46.5,01003,2016
46, Sweet Potatoes,4059,902.7,01003,2016
48, Watermelons,26,5.8,01003,2016
59, Sod/Grass Seed,87798,19525.8,01003,2016
61, Fallow/Idle Cropland,8773,1951.1,01003,2016
70, Christmas Trees,221,49.1,01003,2016
74, Pecans,27502,6116.3,01003,2016
92, Aquaculture,41,9.1,01003,2016
111, Open Water,172423,38346.0,01003,2016
121, Developed/Open Space,226907,50462.9,01003,2016
122, Developed/Low Intensity,86338,19201.1,01003,2016
123, Developed/Medium Intensity,36916,8209.9,01003,2016
124, Developed/High Intensity,10226,2274.2,01003,2016
131, Barren,24092,5357.9,01003,2016
141, Deciduous Forest,14253,3169.8,01003,2016
142, Evergreen Forest,1345491,299230.0,01003,2016
143, Mixed Forest,55327,12304.4,01003,2016
152, Shrubland,578010,128546.3,01003,2016
176, Grass/Pasture,295272,65666.9,01003,2016
190, Woody Wetlands,1297786,288620.7,01003,2016
195, Herbaceous Wetlands,80011,17794.0,01003,2016
212, Oranges,3,0.7,01003,2016
226, Dbl Crop Oats/Corn,64,14.2,01003,2016
238, Dbl Crop WinWht/Cotton,378,84.1,01003,2016
240, Dbl Crop Soybeans/Oats,5031,1118.9,01003,2016
242, Blueberries,1,0.2,01003,2016
1, Corn,9372,2084.3,01005,2016
2, Cotton,22236,4945.2,01005,2016
4, Sorghum,70,15.6,01005,2016
5, Soybeans,1072,238.4,01005,2016
6, Sunflowers,3,0.7,01005,2016
10, Peanuts,11052,2457.9,01005,2016
12, Sweet Corn,15,3.3,01005,2016
24, Winter Wheat,1537,341.8,01005,2016
