feature,coefficient,abs_coef
num__pct_hispanic,-0.6937824683768183,0.6937824683768183
num__median_income,-0.49835287987385024,0.49835287987385024
num__pct_white,-0.44792687866180686,0.44792687866180686
num__pct_black,-0.28454901051574477,0.28454901051574477
num__pesticide_acetochlor_kg,-0.12043459134614523,0.12043459134614523
num__YEAR,-0.11968549832004169,0.11968549832004169
num__pesticide_sulfentrazone_kg,-0.10782036399949721,0.10782036399949721
num__median_age,-0.10649288873382978,0.10649288873382978
num__pesticide_metribuzin_kg,0.09386226514529125,0.09386226514529125
num__cropland_diversity,0.079324695154296,0.079324695154296
num__pesticide_butralin_kg,0.05866813867134027,0.05866813867134027
num__pesticide_dimethenamid_kg,-0.05575852912474238,0.05575852912474238
num__nchs_urban_rural,-0.05376726920649165,0.05376726920649165
num__pesticide_hexazinone_kg,-0.05051658782188274,0.05051658782188274
num__pct_asian,-0.049543559266702474,0.049543559266702474
