feature,coefficient,abs_coef
num__pct_hispanic,-0.6692377257245544,0.6692377257245544
num__median_income,-0.49639046043415896,0.49639046043415896
num__pct_white,-0.41598116771510274,0.41598116771510274
num__pct_black,-0.2583364328184715,0.2583364328184715
num__pesticide_acetochlor_kg,-0.12413798496372395,0.12413798496372395
num__YEAR,-0.11496797792046716,0.11496797792046716
num__pesticide_sulfentrazone_kg,-0.1099455137444411,0.1099455137444411
num__median_age,-0.1058643807766295,0.1058643807766295
num__pesticide_metribuzin_kg,0.08685399015219647,0.08685399015219647
num__cropland_diversity,0.07946050838447395,0.07946050838447395
num__pesticide_butralin_kg,0.0575751273166791,0.0575751273166791
num__nchs_urban_rural,-0.04999708102833571,0.04999708102833571
num__pesticide_hexazinone_kg,-0.04998808032976924,0.04998808032976924
num__pesticide_dimethenamid_kg,-0.04395464452771862,0.04395464452771862
num__pct_asian,-0.04303781376418929,0.04303781376418929
