feature,coefficient,abs_coef
num__median_income,-0.3796495461664392,0.3796495461664392
num__pct_hispanic,-0.34491014394330827,0.34491014394330827
num__median_age,-0.09712413454737762,0.09712413454737762
num__YEAR,-0.09211156601305646,0.09211156601305646
num__pesticide_acetochlor_kg,-0.0832200970159067,0.0832200970159067
num__pesticide_metribuzin_kg,0.07864271492243399,0.07864271492243399
num__pct_white,-0.07705033790028623,0.07705033790028623
num__pesticide_sulfentrazone_kg,-0.07131517910957293,0.07131517910957293
num__pesticide_dimethenamid_kg,-0.05826681309519059,0.05826681309519059
num__cropland_diversity,0.04947857443447664,0.04947857443447664
num__pesticide_butralin_kg,0.04491078571016784,0.04491078571016784
num__pesticide_hexazinone_kg,-0.044419349651809145,0.044419349651809145
num__pct_asian,-0.044228389947249515,0.044228389947249515
num__pesticide_alpha_cypermethrin_kg,-0.043580013212202014,0.043580013212202014
num__pesticide_metsulfuron_kg,0.04203491221961174,0.04203491221961174
