feature,coefficient,abs_coef
num__pct_hispanic,-0.5757814795670678,0.5757814795670678
num__CSMOKING,0.4129534515210748,0.4129534515210748
num__pct_white,-0.4100074504839953,0.4100074504839953
num__pct_black,-0.2638842581241828,0.2638842581241828
num__median_income,-0.22117262159918713,0.22117262159918713
num__DIABETES,0.16390742860871235,0.16390742860871235
num__cropland_diversity,0.16007491443513858,0.16007491443513858
num__pesticide_anilide_kg,-0.14613282210094877,0.14613282210094877
num__median_age,-0.08912174773647695,0.08912174773647695
num__OBESITY,-0.07206563361254192,0.07206563361254192
num__YEAR,-0.05695352720934161,0.05695352720934161
num__rural_binary,-0.04375023201008408,0.04375023201008408
num__pct_asian,-0.03167359758799379,0.03167359758799379
num__pesticide_triazine_kg,0.030272003548742477,0.030272003548742477
num__pesticide_respiratory_kg,0.028361064493668764,0.028361064493668764
