feature,coefficient,abs_coef
num__CSMOKING,1.2972160372126809,1.2972160372126809
num__DIABETES,0.8165357090212689,0.8165357090212689
num__pct_white,0.6878661342411158,0.6878661342411158
num__log_total_per_capita,-0.35006042240537355,0.35006042240537355
num__YEAR,-0.31068520332885263,0.31068520332885263
num__median_age,0.29478855041202656,0.29478855041202656
num__median_income,-0.24642191415592293,0.24642191415592293
num__log_anilide_per_capita,-0.20162614865757472,0.20162614865757472
num__log_chlorophenoxy_per_capita,0.18048248215475474,0.18048248215475474
num__pct_asian,0.14741319287333696,0.14741319287333696
num__log_triazine_per_capita,0.13610388453125025,0.13610388453125025
num__log_other_per_cropland_acre,0.1178637857092082,0.1178637857092082
num__log_chlorophenoxy_per_cropland_acre,0.10903860639749655,0.10903860639749655
num__pct_hispanic,0.101591600314411,0.101591600314411
num__log_resp_per_capita,-0.09172600178083877,0.09172600178083877
