feature,importance
num__CSMOKING,0.62434226
num__DIABETES,0.07665514
num__YEAR,0.06888431
num__median_income,0.050440907
num__median_age,0.03977323
num__pct_white,0.034006983
num__pct_black,0.01410394
num__pesticide_anilide_kg,0.012134504
num__pct_hispanic,0.009594497
num__population,0.008117789
num__rural_binary,0.0075343237
num__pesticide_other_kg,0.007525232
num__pct_asian,0.0070998776
num__pesticide_total_kg,0.006870674
num__pesticide_respiratory_kg,0.006523332
num__pesticide_triazine_kg,0.005856601
num__cropland_diversity,0.0058215796
num__county_crop_concentration,0.005415195
num__OBESITY,0.0048373747
num__pesticide_chlorophenoxy_kg,0.0044622375
num__pesticide_organochlorine_kg,0.0
num__pct_cropland,0.0
