feature,importance
num__CSMOKING,0.23966882
num__YEAR,0.05298254
num__pesticide_streptomycin_kg,0.045367714
num__DIABETES,0.03163757
num__pesticide_metsulfuron_kg,0.027345
num__pesticide_copper_sulfate_kg,0.021410547
num__pesticide_mancozeb_kg,0.020828577
num__median_income,0.020006651
num__median_age,0.015576093
num__pesticide_fenbuconazole_kg,0.015538384
num__pesticide_fipronil_kg,0.014122212
num__pct_white,0.0118420245
num__pesticide_dodine_kg,0.010940915
num__pesticide_hydrogen_peroxide_kg,0.010787505
num__pesticide_cyfluthrin_kg,0.009818327
num__pesticide_iodosulfuron_kg,0.009663125
num__pesticide_petroleum_oil_kg,0.009409281
num__pesticide_fomesafen_kg,0.009071979
num__pesticide_sulfentrazone_kg,0.0089425165
num__pesticide_spinetoram_kg,0.008407324
num__pesticide_chlorothalonil_kg,0.008064872
num__pesticide_copper_hydroxide_kg,0.0076433546
num__pesticide_difenoconazole_kg,0.0073988927
num__pesticide_butralin_kg,0.006216722
num__pesticide_emamectin_kg,0.006151528
